epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,437.459,1.15857,0.99381,1.24099,0.94283,0.91808,0.9567,0.6067,1.44828,0.64624,1.51147,0.000540037,0.000540037,0.000540037
43,447.387,1.15294,1.02319,1.21877,0.96301,0.95732,0.98684,0.62381,1.35063,0.61147,1.45329,0.000531038,0.000531038,0.000531038
44,458.993,1.10014,0.94433,1.18857,0.96505,0.9566,0.98357,0.6085,1.37451,0.64212,1.45677,0.000522039,0.000522039,0.000522039
45,467.682,1.10362,0.96987,1.21801,0.98415,0.95556,0.97883,0.61559,1.36709,0.62226,1.44714,0.00051304,0.00051304,0.00051304
46,479.662,1.09726,0.94411,1.19871,0.97992,0.92853,0.96545,0.63179,1.36337,0.60348,1.43386,0.00050404,0.00050404,0.00050404
47,488.6,1.07224,0.93036,1.19605,0.914,0.92908,0.95088,0.61906,1.36459,0.65492,1.52418,0.000495041,0.000495041,0.000495041
48,499.985,1.0613,0.90825,1.16832,0.98449,0.9562,0.99016,0.61469,1.37531,0.59509,1.46964,0.000486042,0.000486042,0.000486042
49,509.846,1.10846,0.98483,1.22565,0.96648,0.88494,0.95317,0.61018,1.37871,0.69219,1.45714,0.000477043,0.000477043,0.000477043
50,519.715,1.07703,0.86473,1.18326,0.95178,0.94166,0.96066,0.59383,1.51756,0.61083,1.51613,0.000468044,0.000468044,0.000468044
51,531.09,1.05659,0.86208,1.17973,0.95466,0.94329,0.96597,0.61014,1.43739,0.59751,1.50969,0.000459045,0.000459045,0.000459045
52,539.871,1.04545,0.8643,1.1598,0.96209,0.94043,0.96745,0.63991,1.30307,0.54686,1.44122,0.000450046,0.000450046,0.000450046
53,551.552,1.01475,0.83956,1.14527,0.98546,0.9544,0.98809,0.62329,1.38552,0.56979,1.54307,0.000441047,0.000441047,0.000441047
54,559.906,1.02163,0.83794,1.15845,0.97075,0.96191,0.98345,0.60986,1.46446,0.58346,1.55071,0.000432048,0.000432048,0.000432048
55,571.44,1.05795,0.88703,1.18201,0.95009,0.9635,0.9674,0.60621,1.38639,0.56056,1.51466,0.000423049,0.000423049,0.000423049
56,580.343,1.02434,0.86332,1.16397,0.95448,0.95045,0.95741,0.60781,1.41296,0.61081,1.517,0.000414049,0.000414049,0.000414049
57,591.398,1.01324,0.82155,1.16208,0.97725,0.94672,0.97816,0.61554,1.36878,0.57283,1.48757,0.00040505,0.00040505,0.00040505
58,601.048,0.98563,0.81282,1.1447,0.94016,0.92915,0.98094,0.61818,1.33747,0.61738,1.51483,0.000396051,0.000396051,0.000396051
59,611.351,1.02294,0.82217,1.1628,0.96862,0.95924,0.9904,0.60407,1.41821,0.5455,1.58247,0.000387052,0.000387052,0.000387052
60,622.51,1.00293,0.8185,1.16196,0.95188,0.93683,0.97067,0.60042,1.41174,0.5659,1.56218,0.000378053,0.000378053,0.000378053
61,631.362,0.98227,0.78564,1.15387,0.9481,0.92611,0.96119,0.59857,1.44137,0.5499,1.56926,0.000369054,0.000369054,0.000369054
62,643.176,0.95643,0.7473,1.10282,0.97845,0.98044,0.99016,0.58327,1.52647,0.56358,1.62022,0.000360055,0.000360055,0.000360055
63,651.68,0.96491,0.77756,1.13289,0.96723,0.97915,0.99343,0.62651,1.38075,0.53956,1.52434,0.000351056,0.000351056,0.000351056
64,663.753,0.96495,0.75307,1.12973,0.97022,0.95528,0.98421,0.64099,1.38981,0.5314,1.53436,0.000342057,0.000342057,0.000342057
65,672.174,0.95157,0.75466,1.12644,0.96908,0.97039,0.98764,0.64335,1.37133,0.53938,1.50053,0.000333058,0.000333058,0.000333058
66,683.871,0.92761,0.74623,1.12246,0.97219,0.96859,0.99107,0.63058,1.35508,0.528,1.48305,0.000324058,0.000324058,0.000324058
67,692.983,0.93245,0.74717,1.11312,0.97585,0.95702,0.98939,0.63211,1.34642,0.53435,1.50421,0.000315059,0.000315059,0.000315059
68,703.538,0.95718,0.77551,1.13321,0.98491,0.95808,0.99343,0.61549,1.40209,0.52558,1.54159,0.00030606,0.00030606,0.00030606
69,714.034,0.90986,0.7098,1.11872,0.93938,0.94191,0.95823,0.59324,1.4754,0.57644,1.62531,0.000297061,0.000297061,0.000297061
70,723.034,0.90238,0.71093,1.09957,0.98696,0.97087,0.99343,0.58779,1.40222,0.54271,1.56836,0.000288062,0.000288062,0.000288062
71,734.025,0.9151,0.69669,1.1142,0.98096,0.97109,0.99343,0.60406,1.35846,0.51209,1.55706,0.000279063,0.000279063,0.000279063
72,742.288,0.90933,0.73317,1.11205,0.97513,0.97395,0.99343,0.60359,1.44737,0.52657,1.60788,0.000270064,0.000270064,0.000270064
73,754.035,0.87124,0.69527,1.08286,0.97616,0.95769,0.99214,0.59274,1.36917,0.52828,1.54493,0.000261065,0.000261065,0.000261065
74,762.464,0.89572,0.71773,1.09806,0.95655,0.96151,0.99107,0.61057,1.40763,0.54642,1.5575,0.000252066,0.000252066,0.000252066
75,774.016,0.90195,0.75366,1.11148,0.96028,0.92967,0.96693,0.62588,1.41463,0.53607,1.58441,0.000243067,0.000243067,0.000243067
76,783.636,0.85501,0.66272,1.0809,0.98249,0.95594,0.99213,0.62269,1.37191,0.53229,1.55435,0.000234068,0.000234068,0.000234068
77,794.141,0.82631,0.65501,1.05623,0.98268,0.95348,0.99213,0.62761,1.35222,0.52466,1.55952,0.000225068,0.000225068,0.000225068
78,804.863,0.85684,0.67864,1.08764,0.97503,0.96329,0.99105,0.63437,1.3714,0.53774,1.53693,0.000216069,0.000216069,0.000216069
79,814.15,0.88657,0.72651,1.09511,0.97313,0.97389,0.98899,0.62207,1.38316,0.52064,1.59393,0.00020707,0.00020707,0.00020707
80,825.824,0.88236,0.70168,1.08533,0.98022,0.96998,0.99343,0.63188,1.4151,0.53067,1.57653,0.000198071,0.000198071,0.000198071
81,834.548,0.86444,0.69219,1.08627,0.95024,0.9386,0.9655,0.61768,1.3726,0.54151,1.53721,0.000189072,0.000189072,0.000189072
82,846.441,0.82816,0.66191,1.06697,0.97811,0.95058,0.98342,0.62053,1.40143,0.52016,1.55516,0.000180073,0.000180073,0.000180073
